City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,San Juan,AR,83.43,clear sky,-31.5375,-68.5364,Hotel Provincial
8,Hithadhoo,MV,81.64,clear sky,-0.6,73.0833,Scoop Guest House
10,Jacareacanga,BR,75.88,moderate rain,-6.2222,-57.7528,Casa do Ian😎
13,Vaini,TO,82.56,few clouds,-21.2,-175.2,Keleti Beach Resort
18,Malakal,SS,86.07,clear sky,9.5334,31.6605,Nile Palace Hotel
19,Chuy,UY,75.16,moderate rain,-33.6971,-53.4616,Nuevo Hotel Plaza
21,San Felipe,VE,76.15,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
23,Kendari,ID,75.45,overcast clouds,-3.945,122.4989,Hotel Wixel
29,Butaritari,KI,81.01,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
32,Miandrivazo,MG,75,overcast clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
38,Rocha,UY,75.72,clear sky,-34.4833,-54.3333,Hotel Arrarte
40,Rikitea,PF,78.08,broken clouds,-23.1203,-134.9692,People ThankYou
41,Port-Gentil,GA,78.76,few clouds,-0.7193,8.7815,Fengshui Residence
43,Kapaa,US,81.12,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
44,Garissa,KE,81.64,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
45,Puerto Ayora,EC,82.36,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
46,Hobyo,SO,81.18,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
47,Eyl,SO,78.64,few clouds,7.9803,49.8164,Amiin Hotel
48,Avarua,CK,84.25,broken clouds,-21.2078,-159.775,Paradise Inn
55,Acapulco,MX,82.22,smoke,16.8634,-99.8901,HS Hotsson Smart Acapulco
57,Atuona,PF,79.36,overcast clouds,-9.8,-139.0333,Villa Enata
71,Pasni,PK,79.39,clear sky,25.2631,63.471,Kashmiri Hotal
73,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Pirineos
74,Mount Isa,AU,76.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
77,Kulim,MY,78.33,clear sky,5.365,100.5618,Tune Hotel - Kulim
81,Salinopolis,BR,76.24,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
86,Axim,GH,81.07,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
87,Mackay,AU,75.18,clear sky,-21.15,149.2,International Lodge Motel
92,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
98,Kupang,ID,77.31,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
99,Touros,BR,80.17,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
100,Hilo,US,80.33,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
105,Kaeo,NZ,75.33,scattered clouds,-35.1,173.7833,Bushido Lodge
107,Morondava,MG,79.11,broken clouds,-20.2833,44.2833,La Case Bambou
110,Bengkulu,ID,75.2,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
114,Harper,LR,80.13,overcast clouds,4.375,-7.7169,Screensaver
115,Dingle,PH,76.01,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
118,Bambanglipuro,ID,76.12,overcast clouds,-7.95,110.2833,Puri Brata
121,Grand Gaube,MU,77.4,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
123,Ixtapa,MX,76.23,clear sky,20.7,-105.2,hotel la terminal
126,Labuan,MY,77.36,light rain,5.2767,115.2417,Tiara Labuan Hotel
129,Karratha,AU,81.66,broken clouds,-20.7377,116.8463,ibis Styles Karratha
131,Itapirapua,BR,76.1,scattered clouds,-15.8233,-50.6133,Hotel Nossa Senhora Aparecida
135,Arraial Do Cabo,BR,76.96,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
136,Valparaiso,CL,78.44,clear sky,-33.0393,-71.6273,Hotel Ultramar
137,Bambous Virieux,MU,77.25,scattered clouds,-20.3428,57.7575,Casa Tia Villa
141,Beira,MZ,77.09,few clouds,-19.8436,34.8389,Beira Terrace Hotel
144,Banjar,ID,77.31,overcast clouds,-8.19,114.9675,The Hamsa Resort
147,Kloulklubed,PW,77.5,broken clouds,7.0419,134.2556,Storyboard Beach Resort
148,Faanui,PF,82.35,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
153,Omboue,GA,75.45,scattered clouds,-1.5746,9.2618,Hotel Olako
158,San Policarpo,PH,80.49,scattered clouds,12.1791,125.5072,Agapita M. Nicart
163,Atar,MR,78.46,broken clouds,20.5169,-13.0499,Oumou Elghoura
164,Houma,US,79,broken clouds,29.5958,-90.7195,Courtyard by Marriott Houma
165,Makakilo City,US,79.12,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
166,Ambon,ID,75.34,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
171,Tamandare,BR,78.89,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
174,Key Largo,US,80.01,clear sky,25.0865,-80.4473,Bayside Inn Key Largo
175,Salalah,OM,84.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
176,Resistencia,AR,89.65,clear sky,-27.4606,-58.9839,Niyat Urban Hotel
178,Chalmette,US,80.65,broken clouds,29.9427,-89.9634,Marina Inn & Suites Chalmette-New Orleans
179,Puri,IN,81.12,scattered clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
184,Vila Velha,BR,80.55,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
187,Banda Aceh,ID,79.16,scattered clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
193,Yenagoa,NG,78.24,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
195,Port Blair,IN,77.04,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
199,San Patricio,US,83.17,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
202,Cockburn Town,TC,76.96,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
204,Vega De Alatorre,MX,81.99,clear sky,20.0333,-96.6333,Hotel Deluxe
206,Uribia,CO,83.52,broken clouds,11.7139,-72.266,Hotel Uribia
212,Roswell,US,76.71,clear sky,34.0232,-84.3616,La Quinta Inn & Suites by Wyndham Atlanta Roswell
213,Nabire,ID,77.13,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
215,Marsh Harbour,BS,75.09,clear sky,26.5412,-77.0636,Abaco Beach Resort
219,Kavieng,PG,83.84,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
220,Cap Malheureux,MU,77.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
225,Celestun,MX,83.08,few clouds,20.8667,-90.4,Posada Lilia
232,Ormara,PK,80.55,clear sky,25.2088,64.6357,Kenara Colony house for Rent
235,Saint-Pierre,RE,76.68,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
240,Mongo,TD,78.96,scattered clouds,12.1844,18.693,Résidences du Programme FIDA
241,Meulaboh,ID,76.53,broken clouds,4.1363,96.1285,Kost Pria
245,Vanimo,PG,77.94,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
249,Namatanai,PG,84.67,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
253,Biak,ID,76.91,overcast clouds,-0.9131,122.8766,Penginapan Kim
254,Santiago Del Estero,AR,86.23,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
256,Ladario,BR,81.97,broken clouds,-19.0047,-57.6017,Hotel Fazenda 4 cantos
262,Juba,SS,79,broken clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
264,Takoradi,GH,81.32,scattered clouds,4.8845,-1.7554,Raybow International Hotel
265,Berbera,SO,77.97,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
273,Ahuimanu,US,80.31,broken clouds,21.4447,-157.8378,Paradise Bay Resort
277,Santa Fe,AR,77.02,light rain,-31.6333,-60.7,Conquistador Hotel
278,Port Hedland,AU,80.65,few clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
284,Caravelas,BR,76.57,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
294,Kassala,SD,81.32,clear sky,15.451,36.4,Amassi Hotel Gash
301,Saint-Philippe,RE,76.59,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
302,Monrovia,LR,78.57,scattered clouds,6.3005,-10.7969,Sunset Inn
313,Santa Cruz,BO,86.05,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
317,Machiques,VE,82.45,overcast clouds,10.0644,-72.545,hotel el markes
318,George Town,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
319,Cayenne,GF,80.1,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
321,Tiarei,PF,86.02,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
322,Sao Joao Da Barra,BR,76.86,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
332,Gorontalo,ID,75.78,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
334,Tabou,CI,79.97,light rain,4.423,-7.3528,hotêl doufoulougou
337,Majene,ID,77.56,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
339,Fayaoue,NC,81.59,overcast clouds,-20.65,166.5333,Chez Dydyce Guesthouse
356,Mahebourg,MU,77.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
360,Mareeba,AU,77.49,scattered clouds,-17,145.4333,Trinity Plains Tourist Park
370,Bubaque,GW,76.35,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
371,Bhatkal,IN,80.67,scattered clouds,13.9667,74.5667,Nilawar Palace
378,Kulhudhuffushi,MV,82.27,clear sky,6.6221,73.07,Haajy Guest House 1
383,Cam Ranh,VN,78.76,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
384,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
388,Lorengau,PG,84.58,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
391,Kudahuvadhoo,MV,81.37,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
392,Srandakan,ID,76.32,overcast clouds,-7.9386,110.2506,Puri Brata
393,Buchanan,LR,79.9,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
402,Waingapu,ID,78.76,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
403,Trinidad,BO,87.78,broken clouds,-14.8333,-64.9,Hotel Piesta
406,Morelia,MX,85.39,clear sky,19.7008,-101.1844,City Express Morelia
408,Estelle,US,80.01,scattered clouds,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
410,Zwedru,LR,77.16,overcast clouds,6.0667,-8.1281,Elijah Worjloh
411,Tabuk,PH,75.45,scattered clouds,17.4189,121.4443,Golden Berries Hotel and Convention
415,Puerto Escondido,MX,85.03,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
416,Souillac,MU,77.38,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
418,Pemangkat,ID,76.42,broken clouds,1.1667,108.9667,Ramah Kost KITA
424,New Iberia,US,78.8,broken clouds,30.0035,-91.8187,La Quinta Inn & Suites by Wyndham New Iberia
428,Cruzeiro Do Sul,BR,78.98,light rain,-29.5128,-51.9853,Estrela Palace Hotel
432,Carutapera,BR,75.33,overcast clouds,-1.195,-46.02,Lidera
443,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
451,Guayabal,CO,78.28,broken clouds,5.031,-74.8868,Finca El Palmar
459,Cabo San Lucas,MX,81.61,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
460,Tomatlan,MX,87.19,clear sky,19.9333,-105.25,El Salvial
461,Ocala,US,86.18,clear sky,29.1872,-82.1401,Golden Palms Inn & Suites
462,San Pedro,PH,81.63,few clouds,14.35,121.0167,Esquivel's Garden And Resort
469,Sinnamary,GF,76.68,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
471,Karera,IN,78.91,clear sky,25.4667,78.15,श्री हिमांशु जोशी (निवास)
479,Boyuibe,BO,77.97,clear sky,-20.4167,-63.2833,Residencial Eluzai
490,San Andres,CO,84.22,few clouds,12.5847,-81.7006,Hotel Arena Blanca
491,Thiruvananthapuram,IN,84.18,mist,8.4833,76.9167,Hotel Residency Tower
506,Paka,MY,75.13,broken clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
508,Teknaf,BD,76.93,overcast clouds,20.8624,92.3058,Forestry Guesthouse
511,Muscat,OM,78.82,clear sky,23.6139,58.5922,Mutrah Hotel
512,Lakatoro,VU,84.69,broken clouds,-16.0999,167.4164,Lakatoro Palm Lodge
514,Nuevo Progreso,MX,83.53,few clouds,23.1667,-97.95,Balneario Rio el Paraiso
515,Dwarka,IN,77.86,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
521,Jardim,BR,81.93,broken clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
523,Alofi,NU,82.29,broken clouds,-19.0595,-169.9187,Taloa Heights
524,Aquiraz,BR,80.69,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
534,Guider,CM,82.04,clear sky,9.9342,13.9486,"AUBERGE LA GRACE , GÉRANT : OUDAWAREME BALTHAZAR"
535,Cerro Largo,BR,76.12,broken clouds,-28.1486,-54.7381,Hotel Missões
538,Mumford,GH,81.05,scattered clouds,5.2618,-0.759,Spanish Villa
539,Santa Maria,BR,85.3,scattered clouds,-29.6842,-53.8069,Hotel Morotin
540,Itarema,BR,75.58,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
544,Kailua,US,81.75,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
555,Passi,PH,78.08,broken clouds,11.15,122.65,Garden Pavillion
557,Tautira,PF,82.09,few clouds,-17.7333,-149.15,Pension Oaoa
563,Ambulu,ID,75.97,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
567,Sumbe,AO,76.66,light rain,-11.2061,13.8437,Hotel Ritz Sumbe
572,Pedernales,DO,78.06,broken clouds,18.0384,-71.744,Hotel Costa Marina
574,Levelland,US,80.19,broken clouds,33.5873,-102.378,"Holiday Inn Express & Suites Levelland, an IHG Hotel"
578,Manaus,BR,75.69,broken clouds,-3.1019,-60.025,Manaus Hotéis Millennium
581,Piacabucu,BR,79,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
589,Cartagena,CO,85.62,broken clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
592,Sur,OM,77.76,clear sky,22.5667,59.5289,Sur Plaza Hotel
593,Natchez,US,81.25,clear sky,31.5604,-91.4032,Hampton Inn & Suites Natchez
597,Takeo,KH,78.8,few clouds,10.9167,104.8333,វីឡាត្រាសមី(TrustMe Villa)
602,Moerai,PF,80.94,broken clouds,-22.4333,-151.3333,Le Manotel
603,Tucupita,VE,76.37,overcast clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
606,Maragogi,BR,78.31,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
608,Coahuayana,MX,85.39,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
615,Oeiras,BR,76.8,overcast clouds,-7.0253,-42.1311,Hotel SESC Oeiras
620,Bombay,IN,82.38,haze,19.0144,72.8479,Hotel Avon Ruby-Dadar
621,Boa Vista,BR,85.98,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
622,Kapoeta,SS,82.74,broken clouds,4.7717,33.5903,Eastgate Hotel
623,Road Town,VG,78.89,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
626,Hambantota,LK,78.82,clear sky,6.1241,81.1185,Bungalow 63
629,Tarakan,ID,78.58,light rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
630,Abong Mbang,CM,77.32,overcast clouds,3.9833,13.1833,Auberge Angle Sur
634,Labuhan,ID,77.85,overcast clouds,-6.8844,112.2051,DoubleFAG
635,Jega,NG,80.67,few clouds,12.2175,4.3792,ALH. Nasiru Ibrahim
639,Prattville,US,81.91,scattered clouds,32.464,-86.4597,InTown Suites Extended Stay Prattville AL
641,West Odessa,US,89.62,clear sky,31.8424,-102.4988,Corporate Mobile Housing
642,Leisure City,US,81,clear sky,25.4954,-80.4292,Hampton Inn & Suites Miami-South/Homestead
644,Minas De Oro,HN,75.34,overcast clouds,14.8,-87.35,Hotel Alvarado
648,Kavaratti,IN,82.58,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
665,Caraballeda,VE,82.47,scattered clouds,10.6112,-66.8522,Hotel 15 Letras
667,Compostela,PH,75.88,overcast clouds,7.6731,126.0889,Cocos hotel
679,Hervey Bay,AU,75.02,clear sky,-25.2986,152.8535,Shelly Bay Resort
680,Arlit,NE,75.85,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
682,Angoche,MZ,75.92,light rain,-16.2325,39.9086,Guest House HESADA
683,Yanam,IN,75.15,few clouds,16.7333,82.2167,The Regency Hotel
684,Kirakira,SB,84.87,overcast clouds,-10.4544,161.9205,SanBiz Lodge
692,Bodden Town,KY,81,broken clouds,19.2833,-81.25,Will T Place
697,Bossangoa,CF,76.23,few clouds,6.4926,17.4552,LA PERLE DE BOSTON
700,Nanakuli,US,81.72,broken clouds,21.3906,-158.1547,Camp Pālehua
703,Calabozo,VE,87.4,overcast clouds,8.9242,-67.4293,Hotel Giardini
708,Ban Phai,TH,75.42,clear sky,16.06,102.731,Inpawa Hotel
710,Bo Rai,TH,80.76,broken clouds,12.5728,102.5371,Baiboon Resort
714,Parana,AR,76.55,broken clouds,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
716,Saint-Joseph,RE,75.58,moderate rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
717,Palmerston,AU,79.93,light rain,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
